Lead_ID,Lead_Source,Campaign,Impressions,Clicks,Leads,Qualified_Leads,Opportunities,Conversions,Marketing_Spend,Date
1,LinkedIn Ads,B2B Outreach,9270,942,137,105,67,32,379.95,2024-03-28
2,Facebook Ads,Retargeting,13636,1146,317,160,126,79,582.21,2024-01-21
3,Google Ads,Brand Awareness,3184,182,42,27,13,7,451.09,2024-01-15
4,Organic Search,B2B Outreach,2189,83,21,13,10,4,1747.89,2024-05-14
5,Google Ads,B2B Outreach,13080,468,157,131,94,39,375.81,2024-03-24
6,Facebook Ads,B2B Outreach,8235,573,74,49,20,13,665.8,2024-04-13
7,Organic Search,B2B Outreach,9555,554,127,87,41,28,1595.24,2024-06-10
8,Organic Search,Brand Awareness,6297,696,173,142,61,23,281.41,2024-02-09
9,Google Ads,Retargeting,9892,642,107,84,45,18,1176.85,2024-02-10
10,Organic Search,Brand Awareness,7276,743,88,74,52,19,209.94,2024-05-18
11,Organic Search,Brand Awareness,7618,713,201,154,66,29,408.56,2024-05-14
12,Facebook Ads,Retargeting,10392,894,163,85,44,18,1513.29,2024-04-13
13,Organic Search,B2B Outreach,12965,1424,310,167,114,68,1210.3,2024-05-21
14,Email Marketing,Brand Awareness,11062,372,103,55,31,11,1812.37,2024-02-21
15,LinkedIn Ads,Search Campaign,7116,539,176,103,58,34,611.84,2024-06-08
16,Facebook Ads,Retargeting,11914,1102,352,252,130,44,1021.76,2024-04-17
17,Google Ads,Search Campaign,5627,379,121,74,33,14,1832.29,2024-05-08
18,Facebook Ads,Newsletter,3306,226,68,54,21,10,951.34,2024-06-13
19,Google Ads,B2B Outreach,14971,778,110,63,39,17,316.81,2024-02-21
20,Google Ads,B2B Outreach,3291,173,38,23,11,3,1297.22,2024-05-09
21,Email Marketing,Brand Awareness,2854,157,51,29,13,6,1974.17,2024-06-08
22,Organic Search,Newsletter,6931,258,49,28,20,9,1970.16,2024-05-18
23,LinkedIn Ads,B2B Outreach,13774,525,162,99,46,14,1263.61,2024-06-12
24,Organic Search,Retargeting,8546,803,242,150,65,43,915.63,2024-02-08
25,Facebook Ads,Newsletter,4385,462,124,93,44,22,1452.41,2024-01-07
26,Email Marketing,Retargeting,8287,858,204,139,69,23,1814.99,2024-02-06
27,Google Ads,Newsletter,14282,671,113,84,62,39,928.11,2024-06-09
28,Google Ads,Newsletter,14183,1511,504,390,260,138,870.11,2024-04-08
29,Google Ads,Brand Awareness,4200,127,17,11,7,3,603.68,2024-06-09
30,Organic Search,Retargeting,7699,395,71,54,35,22,1383.7,2024-02-02
31,LinkedIn Ads,Retargeting,12927,496,95,56,27,18,907.58,2024-01-08
32,Google Ads,Search Campaign,5354,369,69,50,33,21,614.33,2024-02-17
33,Facebook Ads,B2B Outreach,14946,1217,355,182,145,70,703.21,2024-01-06
34,Facebook Ads,Brand Awareness,3060,347,71,59,46,29,730.01,2024-06-08
35,Email Marketing,B2B Outreach,8102,438,96,60,33,21,1874.03,2024-06-22
36,LinkedIn Ads,Newsletter,5863,286,76,47,23,9,780.59,2024-04-13
37,LinkedIn Ads,B2B Outreach,10096,427,118,81,42,19,661.17,2024-05-31
38,Email Marketing,Brand Awareness,10716,400,40,28,13,4,914.21,2024-05-21
39,Email Marketing,Newsletter,11163,1225,130,91,52,29,790.67,2024-03-03
40,Organic Search,Newsletter,13453,750,185,94,39,24,848.34,2024-04-10
41,Organic Search,Brand Awareness,5124,278,94,62,45,16,940.44,2024-04-08
42,Facebook Ads,Search Campaign,8966,380,50,41,28,8,917.88,2024-01-19
43,Organic Search,Newsletter,13867,1344,218,123,53,24,1439.3,2024-05-08
44,Google Ads,Newsletter,3081,346,72,42,18,6,1882.31,2024-05-08
45,Organic Search,B2B Outreach,5343,408,107,69,47,14,1218.87,2024-06-27
46,Facebook Ads,B2B Outreach,9253,289,37,19,7,4,1466.58,2024-05-23
47,Organic Search,B2B Outreach,12457,1229,370,229,134,75,286.51,2024-03-09
48,Organic Search,B2B Outreach,4849,259,26,21,12,6,1431.13,2024-01-16
49,Email Marketing,Retargeting,4839,556,186,149,97,60,1418.9,2024-06-11
50,Google Ads,Search Campaign,4427,184,55,43,27,16,1372.67,2024-02-12
51,LinkedIn Ads,B2B Outreach,9723,531,81,51,21,11,805.8,2024-03-30
52,Google Ads,Search Campaign,10967,709,191,118,59,29,1447.2,2024-04-23
53,LinkedIn Ads,Retargeting,11708,1338,146,94,73,37,962.25,2024-05-31
54,Facebook Ads,Search Campaign,4786,570,115,72,51,22,1875.36,2024-02-06
55,Google Ads,Retargeting,14043,963,277,211,93,61,1109.45,2024-04-21
56,Facebook Ads,B2B Outreach,2728,160,51,32,12,7,364.32,2024-01-28
57,Google Ads,B2B Outreach,2717,247,54,36,15,5,1284.39,2024-06-28
58,Google Ads,B2B Outreach,13130,645,217,167,74,49,1953.65,2024-05-21
59,LinkedIn Ads,Newsletter,13486,472,134,92,62,42,1438.45,2024-05-24
60,Organic Search,Retargeting,13516,1425,294,169,94,61,463.89,2024-01-29
61,Organic Search,Brand Awareness,13428,684,167,133,100,39,1833.85,2024-02-14
62,Facebook Ads,Search Campaign,11347,698,193,129,71,41,647.7,2024-01-19
63,LinkedIn Ads,Newsletter,14326,989,161,103,64,38,1580.95,2024-05-06
64,Email Marketing,Retargeting,11576,1122,303,176,98,48,349.2,2024-06-09
65,Organic Search,Brand Awareness,7029,486,146,122,75,32,278.12,2024-06-12
66,Google Ads,Retargeting,11442,1059,125,69,33,13,1992.5,2024-02-23
67,Facebook Ads,Newsletter,10053,649,184,150,117,37,910.14,2024-05-31
68,Google Ads,Retargeting,2667,160,22,15,8,3,678.69,2024-04-10
69,Email Marketing,Newsletter,14328,765,163,83,42,19,1285.01,2024-06-05
70,Google Ads,Newsletter,13148,1472,449,373,257,140,952.84,2024-02-25
71,Organic Search,Retargeting,10989,1186,132,67,36,22,1977.1,2024-06-25
